"Colour Master — every fabric/item colourway sourced directly from Decora spec files and product datasets (not from the trade book price grids, which only give collection/band, not individual colours). See Notes / Improvements for categories not yet covered.",,,,,
Product Category,Collection,Colour Name,Colour Code,Band,Source File
FB Romans,Saskia,Willow,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Sculpt,Dove,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Sculpt,Duckegg,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Sculpt,Heather,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Sculpt,Linen,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Sculpt,Stone,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Sculpt,Zest,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Serenity,Alpine,,B,PDF: SPEC46 Roman & Curtain
FB Romans,Spire,Mineral,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Spire,Oyster,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Spire,Silver,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Spire,Thistle,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Spire,Wedgewood,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Strata,Pure,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Tivoli,Fawn,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Tivoli,Flax,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Tova,Sicily,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Tova,Tuscany,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Trace,Apple,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Trace,Azure,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Trace,Ebony,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Trace,Latte,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Trace,Oyster,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Trace,Pewter,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Trace,Platinum,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Trace,Rose,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Trace,Silver,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Trace,Sky,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Trace,Slate,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Trace,White,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Treviso,Ecru,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Treviso,Graphite,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Treviso,Pomelo,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Treviso,Shadow,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Verdant,River,,B,PDF: SPEC46 Roman & Curtain
FB Romans,Verdant,Teal,,B,PDF: SPEC46 Roman & Curtain
FB Romans,Verve+,Dusk,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Verve+,Ivory,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Verve+,Steel,,D,PDF: SPEC46 Roman & Curtain
FB Romans,Vibenna,Adore,,B,PDF: SPEC46 Roman & Curtain
FB Romans,Vibenna,Blush,,B,PDF: SPEC46 Roman & Curtain
FB Romans,Vibenna,Wish,,B,PDF: SPEC46 Roman & Curtain
FB Romans,Vibenna,Zest,,B,PDF: SPEC46 Roman & Curtain
FB Romans,Vine,Merlot,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Vine,Olive,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Vine,Sunset,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Vine,Warmth,,A,PDF: SPEC46 Roman & Curtain
FB Romans,Vista,Indigo,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Vista,Rose,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Vista,Smoke,,C,PDF: SPEC46 Roman & Curtain
FB Romans,Wentworth,Ecru,,C,PDF: SPEC46 Roman & Curtain
FB Softcell V-Series,Cellular,Artezen - Snow,,C,PDF: SPEC26 V-Series Softcell
FB Softcell V-Series,Cellular,Astoria - Charcoal,,C,PDF: SPEC26 V-Series Softcell
FB Softcell V-Series,Cellular,Astoria - Cool Grey,,C,PDF: SPEC26 V-Series Softcell
FB Softcell V-Series,Cellular,Astoria - Desert Sand,,C,PDF: SPEC26 V-Series Softcell
FB Softcell V-Series,Cellular,Astoria - Slate,,C,PDF: SPEC26 V-Series Softcell
FB Softcell V-Series,Cellular,Astoria - Stone,,C,PDF: SPEC26 V-Series Softcell
FB Softcell V-Series,Cellular,Blenheim Blockout - Indigo,,D,PDF: SPEC26 V-Series Softcell
FB Softcell V-Series,Cellular,Blenheim Blockout - Lime,,D,PDF: SPEC26 V-Series Softcell
FB Softcell V-Series,Cellular,Blenheim Blockout - Ochre,,D,PDF: SPEC26 V-Series Softcell
FB Softcell V-Series,Cellular,Blenheim Blockout - Rouge,,D,PDF: SPEC26 V-Series Softcell
FB Softcell V-Series,Cellular,Blenheim Blockout - Snowdrop,,D,PDF: SPEC26 V-Series Softcell
FB Softcell V-Series,Cellular,Blenheim Blockout - White Mist,,D,PDF: SPEC26 V-Series Softcell
FB Softcell V-Series,Cellular,Bowery - Anthracite,,C,PDF: SPEC26 V-Series Softcell
FB Softcell V-Series,Cellular,Bowery - Blanc,,C,PDF: SPEC26 V-Series Softcell
FB Softcell V-Series,Cellular,Bowery - Cashmere,,C,PDF: SPEC26 V-Series Softcell
